,precision,recall,f1-score,support
Apple___Apple_scab,1.0,1.0,1.0,63.0
Apple___Black_rot,1.0,1.0,1.0,63.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,28.0
Apple___healthy,1.0,0.9939393939393939,0.9969604863221885,165.0
Blueberry___healthy,1.0,1.0,1.0,151.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9811320754716981,0.9904761904761905,106.0
Cherry_(including_sour)___healthy,1.0,0.9885057471264368,0.9942196531791907,87.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8148148148148148,0.8461538461538461,0.8301886792452831,52.0
Corn_(maize)___Common_rust_,0.9834710743801653,0.9916666666666667,0.9875518672199171,120.0
Corn_(maize)___Northern_Leaf_Blight,0.9166666666666666,0.8888888888888888,0.9025641025641026,99.0
Corn_(maize)___healthy,1.0,1.0,1.0,117.0
Grape___Black_rot,0.9915966386554622,1.0,0.9957805907172996,118.0
Grape___Esca_(Black_Measles),1.0,0.9928057553956835,0.9963898916967509,139.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,108.0
Grape___healthy,1.0,1.0,1.0,43.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,552.0
Peach___Bacterial_spot,0.9956709956709957,0.9956709956709957,0.9956709956709957,231.0
Peach___healthy,0.9487179487179487,1.0,0.9736842105263158,37.0
"Pepper,_bell___Bacterial_spot",1.0,0.9900990099009901,0.9950248756218906,101.0
"Pepper,_bell___healthy",0.9738562091503268,1.0,0.9867549668874173,149.0
Potato___Early_blight,0.9900990099009901,1.0,0.9950248756218906,100.0
Potato___Late_blight,0.9897959183673469,0.97,0.9797979797979798,100.0
Potato___healthy,1.0,0.9375,0.967741935483871,16.0
Raspberry___healthy,1.0,1.0,1.0,38.0
Soybean___healthy,0.9980392156862745,1.0,0.9990186457311089,509.0
Squash___Powdery_mildew,1.0,1.0,1.0,184.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,112.0
Strawberry___healthy,1.0,1.0,1.0,46.0
Tomato___Bacterial_spot,0.985981308411215,0.985981308411215,0.985981308411215,214.0
Tomato___Early_blight,0.9647058823529412,0.82,0.8864864864864865,100.0
Tomato___Late_blight,0.95,0.9895833333333334,0.9693877551020408,192.0
Tomato___Leaf_Mold,0.978494623655914,0.9479166666666666,0.9629629629629629,96.0
Tomato___Septoria_leaf_spot,0.9774011299435028,0.9719101123595506,0.9746478873239437,178.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9794520547945206,0.8511904761904762,0.910828025477707,168.0
Tomato___Target_Spot,0.8011695906432749,0.9647887323943662,0.8753993610223643,142.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.99812734082397,0.9925512104283054,0.9953314659197012,537.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,38.0
Tomato___healthy,0.9520958083832335,0.99375,0.9724770642201835,160.0
accuracy,0.9818648104048361,0.9818648104048361,0.9818648104048361,0.9818648104048361
macro avg,0.978688321868936,0.9761587952368028,0.9768513753602368,5459.0
weighted avg,0.9829219833689803,0.9818648104048361,0.9818925130917692,5459.0
